Document_ID,prompt_id,label
AR_gpt-4o_3_33_648,108,-1
AR_gpt-4o_3_33_648,19,0
AR_gpt-4o_6_11_208,11,1
AR_gpt-4o_6_11_208,52,-1
AR_gpt-4o_6_11_208,61,0
AR_gpt-4o_20_159_3163,159,1
AR_gpt-4o_20_159_3163,37,-1
AR_gpt-4o_20_159_3163,160,0
AR_gpt-4o_20_159_3166,159,1
AR_gpt-4o_20_159_3166,155,-1
AR_gpt-4o_20_159_3166,160,0
AR_gpt-4o_4_8_146,8,1
AR_gpt-4o_4_8_146,74,-1
AR_gpt-4o_4_8_146,141,0
AR_gpt-4o_9_47_926,47,1
AR_gpt-4o_9_47_926,146,-1
AR_gpt-4o_9_47_926,43,0
AR_gpt-4o_9_47_927,47,1
AR_gpt-4o_9_47_927,23,-1
AR_gpt-4o_9_47_927,43,0
AR_gpt-4o_18_153_3048,153,1
AR_gpt-4o_18_153_3048,144,-1
AR_gpt-4o_18_153_3048,155,0
AR_gpt-4o_12_30_584,30,1
AR_gpt-4o_12_30_584,81,-1
AR_gpt-4o_12_30_584,24,0
AR_gpt-4o_16_34_669,34,1
AR_gpt-4o_16_34_669,105,-1
AR_gpt-4o_16_34_669,83,0
AR_gpt-4o_8_16_303,16,1
AR_gpt-4o_8_16_303,84,-1
AR_gpt-4o_8_16_303,79,0
AR_gpt-4o_8_16_306,16,1
AR_gpt-4o_8_16_306,106,-1
AR_gpt-4o_8_16_306,50,0
AR_gpt-4o_3_5_87,5,1
AR_gpt-4o_3_5_87,121,-1
AR_gpt-4o_3_5_87,92,0
AR_gpt-4o_6_12_227,12,1
AR_gpt-4o_6_12_227,154,-1
AR_gpt-4o_6_12_227,112,0
AR_gpt-4o_11_23_445,23,1
AR_gpt-4o_11_23_445,157,-1
AR_gpt-4o_11_23_445,140,0
AR_gpt-4o_2_3_48,3,1
AR_gpt-4o_2_3_48,30,-1
AR_gpt-4o_2_3_48,32,0
AR_gpt-4o_13_25_488,25,1
AR_gpt-4o_13_25_488,99,-1
AR_gpt-4o_13_25_488,60,0
AR_gpt-4o_19_156_3109,156,1
AR_gpt-4o_19_156_3109,144,-1
AR_gpt-4o_19_156_3109,157,0
AR_gpt-4o_9_47_923,47,1
AR_gpt-4o_9_47_923,128,-1
AR_gpt-4o_9_47_923,39,0
AR_gpt-4o_17_46_909,46,1
AR_gpt-4o_17_46_909,26,-1
AR_gpt-4o_17_46_909,99,0
AR_gpt-4o_8_16_308,16,1
AR_gpt-4o_8_16_308,135,-1
AR_gpt-4o_8_16_308,79,0
AR_gpt-4o_14_26_506,26,1
AR_gpt-4o_14_26_506,59,-1
AR_gpt-4o_14_26_506,132,0
AR_gpt-4o_3_33_649,33,1
AR_gpt-4o_3_33_649,150,-1
AR_gpt-4o_3_33_649,151,0
AR_gpt-4o_16_40_785,40,1
AR_gpt-4o_16_40_785,142,-1
AR_gpt-4o_16_40_785,138,0
AR_gpt-4o_6_12_221,12,1
AR_gpt-4o_6_12_221,85,-1
AR_gpt-4o_6_12_221,56,0
AR_gpt-4o_9_20_382,20,1
AR_gpt-4o_9_20_382,130,-1
AR_gpt-4o_9_20_382,43,0
AR_gpt-4o_17_44_863,44,1
AR_gpt-4o_17_44_863,27,-1
AR_gpt-4o_17_44_863,75,0
AR_gpt-4o_3_19_365,19,1
AR_gpt-4o_3_19_365,45,-1
AR_gpt-4o_3_19_365,92,0
AR_gpt-4o_3_33_650,33,1
AR_gpt-4o_3_33_650,142,-1
AR_gpt-4o_3_33_650,35,0
AR_gpt-4o_14_26_508,26,1
AR_gpt-4o_14_26_508,148,-1
AR_gpt-4o_14_26_508,55,0
AR_gpt-4o_3_5_88,5,1
AR_gpt-4o_3_5_88,111,-1
AR_gpt-4o_3_5_88,152,0
AR_gpt-4o_2_6_105,6,1
AR_gpt-4o_2_6_105,80,-1
AR_gpt-4o_2_6_105,143,0
AR_gpt-4o_17_44_866,44,1
AR_gpt-4o_17_44_866,149,-1
AR_gpt-4o_17_44_866,76,0
AR_gpt-4o_14_26_504,26,1
AR_gpt-4o_14_26_504,34,-1
AR_gpt-4o_14_26_504,55,0
AR_gpt-4o_9_37_723,37,1
AR_gpt-4o_9_37_723,134,-1
AR_gpt-4o_9_37_723,85,0
AR_gpt-4o_16_40_781,40,1
AR_gpt-4o_16_40_781,16,-1
AR_gpt-4o_16_40_781,83,0
AR_gpt-4o_9_43_849,43,1
AR_gpt-4o_9_43_849,156,-1
AR_gpt-4o_9_43_849,37,0
AR_gpt-4o_3_35_682,35,1
AR_gpt-4o_3_35_682,34,-1
AR_gpt-4o_3_35_682,152,0
AR_gpt-4o_9_39_768,39,1
AR_gpt-4o_9_39_768,153,-1
AR_gpt-4o_9_39_768,43,0
AR_gpt-4o_15_27_523,27,1
AR_gpt-4o_15_27_523,137,-1
AR_gpt-4o_15_27_523,53,0
AR_gpt-4o_16_34_670,34,1
AR_gpt-4o_16_34_670,146,-1
AR_gpt-4o_16_34_670,138,0
AR_gpt-4o_3_5_90,5,1
AR_gpt-4o_3_5_90,55,-1
AR_gpt-4o_3_5_90,92,0
AR_gpt-4o_3_33_645,33,1
AR_gpt-4o_3_33_645,102,-1
AR_gpt-4o_3_33_645,91,0
AR_gpt-4o_8_16_310,16,1
AR_gpt-4o_8_16_310,78,-1
AR_gpt-4o_8_16_310,121,0
AR_gpt-4o_19_156_3102,156,1
AR_gpt-4o_19_156_3102,53,-1
AR_gpt-4o_19_156_3102,157,0
AR_gpt-4o_3_5_89,5,1
AR_gpt-4o_3_5_89,16,-1
AR_gpt-4o_3_5_89,35,0
AR_gpt-4o_14_26_501,26,1
AR_gpt-4o_14_26_501,149,-1
AR_gpt-4o_14_26_501,132,0
AR_gpt-4o_19_156_3103,156,1
AR_gpt-4o_19_156_3103,79,-1
AR_gpt-4o_19_156_3103,157,0
AR_gpt-4o_4_7_122,7,1
AR_gpt-4o_4_7_122,2,-1
AR_gpt-4o_4_7_122,8,0
AR_gpt-4o_9_39_763,39,1
AR_gpt-4o_9_39_763,16,-1
AR_gpt-4o_9_39_763,20,0
AR_gpt-4o_17_38_745,38,1
AR_gpt-4o_17_38_745,23,-1
AR_gpt-4o_17_38_745,148,0
AR_gpt-4o_15_28_544,28,1
AR_gpt-4o_15_28_544,50,-1
AR_gpt-4o_15_28_544,108,0
AR_gpt-4o_9_39_767,39,1
AR_gpt-4o_9_39_767,40,-1
AR_gpt-4o_9_39_767,43,0
AR_gpt-4o_14_26_509,26,1
AR_gpt-4o_14_26_509,158,-1
AR_gpt-4o_14_26_509,73,0
AR_gpt-4o_12_30_588,30,1
AR_gpt-4o_12_30_588,58,-1
AR_gpt-4o_12_30_588,103,0
AR_gpt-4o_6_11_210,11,1
AR_gpt-4o_6_11_210,49,-1
AR_gpt-4o_6_11_210,56,0
AR_gpt-4o_11_23_442,23,1
AR_gpt-4o_11_23_442,73,-1
AR_gpt-4o_11_23_442,140,0
AR_gpt-4o_13_25_483,25,1
AR_gpt-4o_13_25_483,132,-1
AR_gpt-4o_13_25_483,60,0
AR_gpt-4o_3_5_86,5,1
AR_gpt-4o_3_5_86,7,-1
AR_gpt-4o_3_5_86,91,0
AR_gpt-4o_2_3_47,3,1
AR_gpt-4o_2_3_47,23,-1
AR_gpt-4o_2_3_47,32,0
AR_gpt-4o_17_46_908,46,1
AR_gpt-4o_17_46_908,65,-1
AR_gpt-4o_17_46_908,148,0
AR_gpt-4o_3_35_690,35,1
AR_gpt-4o_3_35_690,63,-1
AR_gpt-4o_3_35_690,91,0
AR_gpt-4o_3_19_364,19,1
AR_gpt-4o_3_19_364,61,-1
AR_gpt-4o_3_19_364,91,0
AR_gpt-4o_4_7_121,7,1
AR_gpt-4o_4_7_121,16,-1
AR_gpt-4o_4_7_121,141,0
AR_gpt-4o_2_6_103,6,1
AR_gpt-4o_2_6_103,153,-1
AR_gpt-4o_2_6_103,3,0
AR_gpt-4o_17_45_890,45,1
AR_gpt-4o_17_45_890,153,-1
AR_gpt-4o_17_45_890,44,0
AR_gpt-4o_17_46_910,46,1
AR_gpt-4o_17_46_910,17,-1
AR_gpt-4o_17_46_910,99,0
AR_gpt-4o_6_11_207,11,1
AR_gpt-4o_6_11_207,84,-1
AR_gpt-4o_6_11_207,61,0
AR_gpt-4o_2_32_626,32,1
AR_gpt-4o_2_32_626,25,-1
AR_gpt-4o_2_32_626,6,0
AR_gpt-4o_3_5_81,5,1
AR_gpt-4o_3_5_81,25,-1
AR_gpt-4o_3_5_81,91,0
AR_gpt-4o_9_37_730,37,1
AR_gpt-4o_9_37_730,145,-1
AR_gpt-4o_9_37_730,85,0
AR_gpt-4o_17_38_750,38,1
AR_gpt-4o_17_38_750,132,-1
AR_gpt-4o_17_38_750,46,0
AR_gpt-4o_8_17_322,17,1
AR_gpt-4o_8_17_322,102,-1
AR_gpt-4o_8_17_322,50,0
AR_gpt-4o_19_156_3104,156,1
AR_gpt-4o_19_156_3104,96,-1
AR_gpt-4o_19_156_3104,157,0
AR_gpt-4o_16_34_663,34,1
AR_gpt-4o_16_34_663,23,-1
AR_gpt-4o_16_34_663,40,0
AR_gpt-4o_17_38_743,38,1
AR_gpt-4o_17_38_743,157,-1
AR_gpt-4o_17_38_743,148,0
AR_gpt-4o_15_28_548,28,1
AR_gpt-4o_15_28_548,45,-1
AR_gpt-4o_15_28_548,27,0
AR_gpt-4o_9_37_721,37,1
AR_gpt-4o_9_37_721,44,-1
AR_gpt-4o_9_37_721,43,0
AR_gpt-4o_12_30_590,30,1
AR_gpt-4o_12_30_590,19,-1
AR_gpt-4o_12_30_590,134,0
AR_gpt-4o_3_19_363,19,1
AR_gpt-4o_3_19_363,58,-1
AR_gpt-4o_3_19_363,5,0
AR_gpt-4o_6_12_230,12,1
AR_gpt-4o_6_12_230,156,-1
AR_gpt-4o_6_12_230,107,0
AR_gpt-4o_17_38_748,38,1
AR_gpt-4o_17_38_748,159,-1
AR_gpt-4o_17_38_748,45,0
AR_gpt-4o_3_19_367,19,1
AR_gpt-4o_3_19_367,73,-1
AR_gpt-4o_3_19_367,35,0
AR_gpt-4o_17_45_886,45,1
AR_gpt-4o_17_45_886,105,-1
AR_gpt-4o_17_45_886,59,0
AR_gpt-4o_3_19_368,19,1
AR_gpt-4o_3_19_368,86,-1
AR_gpt-4o_3_19_368,33,0
AR_gpt-4o_2_32_621,32,1
AR_gpt-4o_2_32_621,131,-1
AR_gpt-4o_2_32_621,95,0
AR_gpt-4o_6_12_229,12,1
AR_gpt-4o_6_12_229,5,-1
AR_gpt-4o_6_12_229,80,0
AR_gpt-4o_2_6_104,6,1
AR_gpt-4o_2_6_104,161,-1
AR_gpt-4o_2_6_104,3,0
AR_gpt-4o_4_7_128,7,1
AR_gpt-4o_4_7_128,35,-1
AR_gpt-4o_4_7_128,142,0
AR_gpt-4o_12_24_463,24,1
AR_gpt-4o_12_24_463,39,-1
AR_gpt-4o_12_24_463,78,0
AR_gpt-4o_6_12_228,12,1
AR_gpt-4o_6_12_228,35,-1
AR_gpt-4o_6_12_228,72,0
AR_gpt-4o_17_44_862,44,1
AR_gpt-4o_17_44_862,36,-1
AR_gpt-4o_17_44_862,147,0
AR_gpt-4o_15_27_524,27,1
AR_gpt-4o_15_27_524,155,-1
AR_gpt-4o_15_27_524,64,0
AR_gpt-4o_12_24_466,24,1
AR_gpt-4o_12_24_466,161,-1
AR_gpt-4o_12_24_466,133,0
AR_gpt-4o_14_26_507,26,1
AR_gpt-4o_14_26_507,150,-1
AR_gpt-4o_14_26_507,132,0
AR_gpt-4o_3_33_646,33,1
AR_gpt-4o_3_33_646,29,-1
AR_gpt-4o_3_33_646,19,0
AR_gpt-4o_8_17_327,17,1
AR_gpt-4o_8_17_327,37,-1
AR_gpt-4o_8_17_327,16,0
AR_gpt-4o_17_45_888,45,1
AR_gpt-4o_17_45_888,153,-1
AR_gpt-4o_17_45_888,75,0
AR_gpt-4o_9_39_769,39,1
AR_gpt-4o_9_39_769,41,-1
AR_gpt-4o_9_39_769,86,0
AR_gpt-4o_17_45_889,45,1
AR_gpt-4o_17_45_889,100,-1
AR_gpt-4o_17_45_889,148,0
AR_gpt-4o_15_27_528,27,1
AR_gpt-4o_15_27_528,83,-1
AR_gpt-4o_15_27_528,126,0
AR_gpt-4o_16_40_789,40,1
AR_gpt-4o_16_40_789,3,-1
AR_gpt-4o_16_40_789,137,0
AR_gpt-4o_15_28_549,28,1
AR_gpt-4o_15_28_549,20,-1
AR_gpt-4o_15_28_549,27,0
AR_gpt-4o_17_38_744,38,1
AR_gpt-4o_17_38_744,93,-1
AR_gpt-4o_17_38_744,75,0
AR_gpt-4o_9_47_922,47,1
AR_gpt-4o_9_47_922,109,-1
AR_gpt-4o_9_47_922,146,0
AR_gpt-4o_16_40_787,40,1
AR_gpt-4o_16_40_787,155,-1
AR_gpt-4o_16_40_787,137,0
AR_gpt-4o_12_24_470,24,1
AR_gpt-4o_12_24_470,153,-1
AR_gpt-4o_12_24_470,30,0
AR_gpt-4o_4_7_129,7,1
AR_gpt-4o_4_7_129,33,-1
AR_gpt-4o_4_7_129,142,0
AR_gpt-4o_16_40_786,40,1
AR_gpt-4o_16_40_786,144,-1
AR_gpt-4o_16_40_786,84,0
AR_gpt-4o_17_38_749,38,1
AR_gpt-4o_17_38_749,158,-1
AR_gpt-4o_17_38_749,46,0
AR_gpt-4o_12_30_586,30,1
AR_gpt-4o_12_30_586,55,-1
AR_gpt-4o_12_30_586,24,0
AR_gpt-4o_11_23_443,23,1
AR_gpt-4o_11_23_443,71,-1
AR_gpt-4o_11_23_443,93,0
AR_gpt-4o_17_44_865,44,1
AR_gpt-4o_17_44_865,30,-1
AR_gpt-4o_17_44_865,59,0
AR_gpt-4o_9_37_728,37,1
AR_gpt-4o_9_37_728,66,-1
AR_gpt-4o_9_37_728,145,0
AR_gpt-4o_11_23_448,23,1
AR_gpt-4o_11_23_448,161,-1
AR_gpt-4o_11_23_448,94,0
AR_gpt-4o_18_153_3049,153,1
AR_gpt-4o_18_153_3049,17,-1
AR_gpt-4o_18_153_3049,154,0
AR_gpt-4o_19_156_3108,156,1
AR_gpt-4o_19_156_3108,26,-1
AR_gpt-4o_19_156_3108,157,0
AR_gpt-4o_9_39_761,39,1
AR_gpt-4o_9_39_761,139,-1
AR_gpt-4o_9_39_761,47,0
AR_gpt-4o_9_47_928,47,1
AR_gpt-4o_9_47_928,39,-1
AR_gpt-4o_9_47_928,37,0
AR_gpt-4o_15_28_545,28,1
AR_gpt-4o_15_28_545,25,-1
AR_gpt-4o_15_28_545,124,0
AR_gpt-4o_3_33_647,33,1
AR_gpt-4o_3_33_647,40,-1
AR_gpt-4o_3_33_647,19,0
AR_gpt-4o_9_37_724,37,1
AR_gpt-4o_9_37_724,108,-1
AR_gpt-4o_9_37_724,85,0
AR_gpt-4o_15_27_525,27,1
AR_gpt-4o_15_27_525,17,-1
AR_gpt-4o_15_27_525,28,0
AR_gpt-4o_9_37_726,37,1
AR_gpt-4o_9_37_726,117,-1
AR_gpt-4o_9_37_726,86,0
AR_gpt-4o_2_3_43,3,1
AR_gpt-4o_2_3_43,37,-1
AR_gpt-4o_2_3_43,95,0
AR_gpt-4o_11_23_446,23,1
AR_gpt-4o_11_23_446,133,-1
AR_gpt-4o_11_23_446,140,0
AR_gpt-4o_2_32_624,32,1
AR_gpt-4o_2_32_624,154,-1
AR_gpt-4o_2_32_624,3,0
AR_gpt-4o_9_37_725,37,1
AR_gpt-4o_9_37_725,66,-1
AR_gpt-4o_9_37_725,43,0
AR_gpt-4o_12_24_461,24,1
AR_gpt-4o_12_24_461,157,-1
AR_gpt-4o_12_24_461,30,0
AR_gpt-4o_9_43_843,43,1
AR_gpt-4o_9_43_843,141,-1
AR_gpt-4o_9_43_843,145,0
AR_gpt-4o_17_46_905,46,1
AR_gpt-4o_17_46_905,133,-1
AR_gpt-4o_17_46_905,76,0
AR_gpt-4o_12_24_468,24,1
AR_gpt-4o_12_24_468,26,-1
AR_gpt-4o_12_24_468,103,0
AR_gpt-4o_8_16_305,16,1
AR_gpt-4o_8_16_305,156,-1
AR_gpt-4o_8_16_305,58,0
AR_gpt-4o_2_6_110,6,1
AR_gpt-4o_2_6_110,143,-1
AR_gpt-4o_2_6_110,96,0
AR_gpt-4o_8_17_324,17,1
AR_gpt-4o_8_17_324,88,-1
AR_gpt-4o_8_17_324,121,0
AR_gpt-4o_17_45_883,45,1
AR_gpt-4o_17_45_883,110,-1
AR_gpt-4o_17_45_883,99,0
AR_gpt-4o_9_20_388,20,1
AR_gpt-4o_9_20_388,92,-1
AR_gpt-4o_9_20_388,86,0
AR_gpt-4o_3_33_644,33,1
AR_gpt-4o_3_33_644,142,-1
AR_gpt-4o_3_33_644,35,0
AR_gpt-4o_17_44_870,44,1
AR_gpt-4o_17_44_870,59,-1
AR_gpt-4o_17_44_870,99,0
AR_gpt-4o_13_25_484,25,1
AR_gpt-4o_13_25_484,139,-1
AR_gpt-4o_13_25_484,82,0
AR_gpt-4o_2_32_625,32,1
AR_gpt-4o_2_32_625,153,-1
AR_gpt-4o_2_32_625,6,0
AR_gpt-4o_9_39_765,39,1
AR_gpt-4o_9_39_765,132,-1
AR_gpt-4o_9_39_765,43,0
AR_gpt-4o_4_8_145,8,1
AR_gpt-4o_4_8_145,161,-1
AR_gpt-4o_4_8_145,67,0
AR_gpt-4o_18_153_3043,153,1
AR_gpt-4o_18_153_3043,135,-1
AR_gpt-4o_18_153_3043,154,0
AR_gpt-4o_6_12_226,12,1
AR_gpt-4o_6_12_226,51,-1
AR_gpt-4o_6_12_226,61,0
AR_gpt-4o_16_40_784,40,1
AR_gpt-4o_16_40_784,73,-1
AR_gpt-4o_16_40_784,137,0
AR_gpt-4o_8_17_326,17,1
AR_gpt-4o_8_17_326,124,-1
AR_gpt-4o_8_17_326,50,0
AR_gpt-4o_2_32_627,32,1
AR_gpt-4o_2_32_627,99,-1
AR_gpt-4o_2_32_627,144,0
AR_gpt-4o_8_16_301,16,1
AR_gpt-4o_8_16_301,107,-1
AR_gpt-4o_8_16_301,17,0
AR_gpt-4o_15_27_530,27,1
AR_gpt-4o_15_27_530,71,-1
AR_gpt-4o_15_27_530,48,0
AR_gpt-4o_3_5_83,5,1
AR_gpt-4o_3_5_83,121,-1
AR_gpt-4o_3_5_83,35,0
AR_gpt-4o_4_7_126,7,1
AR_gpt-4o_4_7_126,17,-1
AR_gpt-4o_4_7_126,66,0
AR_gpt-4o_2_6_109,6,1
AR_gpt-4o_2_6_109,1,-1
AR_gpt-4o_2_6_109,32,0
AR_gpt-4o_12_30_581,30,1
AR_gpt-4o_12_30_581,137,-1
AR_gpt-4o_12_30_581,24,0
AR_gpt-4o_14_26_503,26,1
AR_gpt-4o_14_26_503,115,-1
AR_gpt-4o_14_26_503,132,0
AR_gpt-4o_9_39_766,39,1
AR_gpt-4o_9_39_766,156,-1
AR_gpt-4o_9_39_766,145,0
AR_gpt-4o_13_25_482,25,1
AR_gpt-4o_13_25_482,84,-1
AR_gpt-4o_13_25_482,81,0
AR_gpt-4o_17_44_868,44,1
AR_gpt-4o_17_44_868,128,-1
AR_gpt-4o_17_44_868,38,0
AR_gpt-4o_6_11_202,11,1
AR_gpt-4o_6_11_202,67,-1
AR_gpt-4o_6_11_202,61,0
AR_gpt-4o_3_19_366,19,1
AR_gpt-4o_3_19_366,112,-1
AR_gpt-4o_3_19_366,151,0
AR_gpt-4o_9_43_841,43,1
AR_gpt-4o_9_43_841,99,-1
AR_gpt-4o_9_43_841,20,0
AR_gpt-4o_12_30_589,30,1
AR_gpt-4o_12_30_589,153,-1
AR_gpt-4o_12_30_589,24,0
AR_gpt-4o_16_34_665,34,1
AR_gpt-4o_16_34_665,63,-1
AR_gpt-4o_16_34_665,137,0
AR_gpt-4o_12_24_464,24,1
AR_gpt-4o_12_24_464,147,-1
AR_gpt-4o_12_24_464,133,0
AR_gpt-4o_4_8_142,8,1
AR_gpt-4o_4_8_142,139,-1
AR_gpt-4o_4_8_142,142,0
AR_gpt-4o_8_17_330,17,1
AR_gpt-4o_8_17_330,76,-1
AR_gpt-4o_8_17_330,121,0
AR_gpt-4o_9_43_846,43,1
AR_gpt-4o_9_43_846,64,-1
AR_gpt-4o_9_43_846,146,0
AR_gpt-4o_16_34_667,34,1
AR_gpt-4o_16_34_667,97,-1
AR_gpt-4o_16_34_667,83,0
AR_gpt-4o_13_25_487,25,1
AR_gpt-4o_13_25_487,146,-1
AR_gpt-4o_13_25_487,135,0
AR_gpt-4o_2_6_107,6,1
AR_gpt-4o_2_6_107,50,-1
AR_gpt-4o_2_6_107,96,0
AR_gpt-4o_20_159_3164,159,1
AR_gpt-4o_20_159_3164,91,-1
AR_gpt-4o_20_159_3164,160,0
AR_gpt-4o_14_26_502,26,1
AR_gpt-4o_14_26_502,85,-1
AR_gpt-4o_14_26_502,73,0
AR_gpt-4o_17_45_884,45,1
AR_gpt-4o_17_45_884,153,-1
AR_gpt-4o_17_45_884,46,0
AR_gpt-4o_2_3_45,3,1
AR_gpt-4o_2_3_45,90,-1
AR_gpt-4o_2_3_45,96,0
AR_gpt-4o_2_3_41,3,1
AR_gpt-4o_2_3_41,90,-1
AR_gpt-4o_2_3_41,6,0
AR_gpt-4o_9_47_925,47,1
AR_gpt-4o_9_47_925,132,-1
AR_gpt-4o_9_47_925,86,0
AR_gpt-4o_17_46_902,46,1
AR_gpt-4o_17_46_902,154,-1
AR_gpt-4o_17_46_902,99,0
AR_gpt-4o_19_156_3105,156,1
AR_gpt-4o_19_156_3105,6,-1
AR_gpt-4o_19_156_3105,158,0
AR_gpt-4o_9_20_381,20,1
AR_gpt-4o_9_20_381,135,-1
AR_gpt-4o_9_20_381,37,0
AR_gpt-4o_9_37_727,37,1
AR_gpt-4o_9_37_727,157,-1
AR_gpt-4o_9_37_727,146,0
AR_gpt-4o_3_33_643,33,1
AR_gpt-4o_3_33_643,31,-1
AR_gpt-4o_3_33_643,35,0
AR_gpt-4o_17_46_903,46,1
AR_gpt-4o_17_46_903,82,-1
AR_gpt-4o_17_46_903,148,0
AR_gpt-4o_3_35_689,35,1
AR_gpt-4o_3_35_689,155,-1
AR_gpt-4o_3_35_689,19,0
AR_gpt-4o_3_35_684,35,1
AR_gpt-4o_3_35_684,40,-1
AR_gpt-4o_3_35_684,33,0
AR_gpt-4o_9_20_384,20,1
AR_gpt-4o_9_20_384,132,-1
AR_gpt-4o_9_20_384,37,0
AR_gpt-4o_12_30_582,30,1
AR_gpt-4o_12_30_582,81,-1
AR_gpt-4o_12_30_582,134,0
AR_gpt-4o_3_19_369,19,1
AR_gpt-4o_3_19_369,136,-1
AR_gpt-4o_3_19_369,33,0
AR_gpt-4o_4_7_127,7,1
AR_gpt-4o_4_7_127,63,-1
AR_gpt-4o_4_7_127,142,0
AR_gpt-4o_3_35_686,35,1
AR_gpt-4o_3_35_686,153,-1
AR_gpt-4o_3_35_686,91,0
AR_gpt-4o_6_12_222,12,1
AR_gpt-4o_6_12_222,158,-1
AR_gpt-4o_6_12_222,109,0
AR_gpt-4o_15_27_521,27,1
AR_gpt-4o_15_27_521,2,-1
AR_gpt-4o_15_27_521,108,0
AR_gpt-4o_4_8_148,8,1
AR_gpt-4o_4_8_148,55,-1
AR_gpt-4o_4_8_148,141,0
AR_gpt-4o_4_7_123,7,1
AR_gpt-4o_4_7_123,11,-1
AR_gpt-4o_4_7_123,67,0
AR_gpt-4o_17_45_882,45,1
AR_gpt-4o_17_45_882,81,-1
AR_gpt-4o_17_45_882,59,0
AR_gpt-4o_3_5_82,5,1
AR_gpt-4o_3_5_82,101,-1
AR_gpt-4o_3_5_82,35,0
AR_gpt-4o_20_159_3167,159,1
AR_gpt-4o_20_159_3167,81,-1
AR_gpt-4o_20_159_3167,161,0
AR_gpt-4o_16_34_661,34,1
AR_gpt-4o_16_34_661,37,-1
AR_gpt-4o_16_34_661,137,0
AR_gpt-4o_9_47_924,47,1
AR_gpt-4o_9_47_924,88,-1
AR_gpt-4o_9_47_924,20,0
AR_gpt-4o_2_6_108,6,1
AR_gpt-4o_2_6_108,30,-1
AR_gpt-4o_2_6_108,144,0
AR_gpt-4o_9_43_848,43,1
AR_gpt-4o_9_43_848,5,-1
AR_gpt-4o_9_43_848,20,0
AR_gpt-4o_9_39_770,39,1
AR_gpt-4o_9_39_770,17,-1
AR_gpt-4o_9_39_770,20,0
AR_gpt-4o_17_38_741,38,1
AR_gpt-4o_17_38_741,159,-1
AR_gpt-4o_17_38_741,59,0
AR_gpt-4o_15_28_543,28,1
AR_gpt-4o_15_28_543,116,-1
AR_gpt-4o_15_28_543,108,0
AR_gpt-4o_17_46_901,46,1
AR_gpt-4o_17_46_901,141,-1
AR_gpt-4o_17_46_901,59,0
AR_gpt-4o_13_25_489,25,1
AR_gpt-4o_13_25_489,97,-1
AR_gpt-4o_13_25_489,82,0
AR_gpt-4o_6_12_223,12,1
AR_gpt-4o_6_12_223,104,-1
AR_gpt-4o_6_12_223,107,0
AR_gpt-4o_13_25_486,25,1
AR_gpt-4o_13_25_486,8,-1
AR_gpt-4o_13_25_486,82,0
